done,score,snake,food,direction_choice
done,score,snake,food,direction_choice
done,score,snake,food,direction_choice
done,score,snake,food,direction_choice
False,0,"[[7, 7], [7, 8], [6, 8]]","[1, 1]",3
False,0,"[[8, 7], [7, 7], [7, 8]]","[1, 1]",2
False,0,"[[8, 6], [8, 7], [7, 7]]","[1, 1]",3
False,0,"[[7, 6], [8, 6], [8, 7]]","[1, 1]",0
False,0,"[[7, 5], [7, 6], [8, 6]]","[1, 1]",3
False,0,"[[8, 5], [7, 5], [7, 6]]","[1, 1]",2
False,0,"[[8, 6], [8, 5], [7, 5]]","[1, 1]",1
False,0,"[[9, 6], [8, 6], [8, 5]]","[1, 1]",2
False,0,"[[9, 7], [9, 6], [8, 6]]","[1, 1]",1
False,0,"[[9, 6], [9, 7], [9, 6]]","[1, 1]",3
False,0,"[[9, 7], [9, 6], [9, 7]]","[1, 1]",1
False,0,"[[10, 7], [9, 7], [9, 6]]","[1, 1]",2
False,0,"[[9, 7], [10, 7], [9, 7]]","[1, 1]",0
False,0,"[[9, 8], [9, 7], [10, 7]]","[1, 1]",1
False,0,"[[9, 7], [9, 8], [9, 7]]","[1, 1]",3
False,0,"[[9, 8], [9, 7], [9, 8]]","[1, 1]",1
False,0,"[[10, 8], [9, 8], [9, 7]]","[1, 1]",2
False,0,"[[11, 8], [10, 8], [9, 8]]","[1, 1]",2
False,0,"[[11, 7], [11, 8], [10, 8]]","[1, 1]",3
False,0,"[[10, 7], [11, 7], [11, 8]]","[1, 1]",0
False,0,"[[10, 6], [10, 7], [11, 7]]","[1, 1]",3
False,0,"[[11, 6], [10, 6], [10, 7]]","[1, 1]",2
False,0,"[[10, 6], [11, 6], [10, 6]]","[1, 1]",0
False,0,"[[10, 5], [10, 6], [11, 6]]","[1, 1]",3
False,0,"[[10, 6], [10, 5], [10, 6]]","[1, 1]",1
False,0,"[[10, 5], [10, 6], [10, 5]]","[1, 1]",3
False,0,"[[10, 6], [10, 5], [10, 6]]","[1, 1]",1
False,0,"[[10, 5], [10, 6], [10, 5]]","[1, 1]",3
False,0,"[[11, 5], [10, 5], [10, 6]]","[1, 1]",2
False,0,"[[10, 5], [11, 5], [10, 5]]","[1, 1]",0
False,0,"[[10, 6], [10, 5], [11, 5]]","[1, 1]",1
False,0,"[[10, 7], [10, 6], [10, 5]]","[1, 1]",1
False,0,"[[9, 7], [10, 7], [10, 6]]","[1, 1]",0
False,0,"[[9, 6], [9, 7], [10, 7]]","[1, 1]",3
False,0,"[[9, 5], [9, 6], [9, 7]]","[1, 1]",3
False,0,"[[9, 4], [9, 5], [9, 6]]","[1, 1]",3
False,0,"[[9, 5], [9, 4], [9, 5]]","[1, 1]",1
False,0,"[[9, 4], [9, 5], [9, 4]]","[1, 1]",3
False,0,"[[9, 3], [9, 4], [9, 5]]","[1, 1]",3
False,0,"[[8, 3], [9, 3], [9, 4]]","[1, 1]",0
False,0,"[[8, 4], [8, 3], [9, 3]]","[1, 1]",1
False,0,"[[9, 4], [8, 4], [8, 3]]","[1, 1]",2
False,0,"[[10, 4], [9, 4], [8, 4]]","[1, 1]",2
False,0,"[[9, 4], [10, 4], [9, 4]]","[1, 1]",0
False,0,"[[8, 4], [9, 4], [10, 4]]","[1, 1]",0
False,0,"[[8, 5], [8, 4], [9, 4]]","[1, 1]",1
False,0,"[[9, 5], [8, 5], [8, 4]]","[1, 1]",2
False,0,"[[9, 6], [9, 5], [8, 5]]","[1, 1]",1
False,0,"[[9, 5], [9, 6], [9, 5]]","[1, 1]",3
False,0,"[[8, 5], [9, 5], [9, 6]]","[1, 1]",0
False,0,"[[8, 4], [8, 5], [9, 5]]","[1, 1]",3
False,0,"[[8, 5], [8, 4], [8, 5]]","[1, 1]",1
False,0,"[[7, 5], [8, 5], [8, 4]]","[1, 1]",0
False,0,"[[6, 5], [7, 5], [8, 5]]","[1, 1]",0
False,0,"[[7, 5], [6, 5], [7, 5]]","[1, 1]",2
False,0,"[[7, 4], [7, 5], [6, 5]]","[1, 1]",3
False,0,"[[7, 5], [7, 4], [7, 5]]","[1, 1]",1
False,0,"[[7, 4], [7, 5], [7, 4]]","[1, 1]",3
False,0,"[[7, 5], [7, 4], [7, 5]]","[1, 1]",1
False,0,"[[6, 5], [7, 5], [7, 4]]","[1, 1]",0
False,0,"[[6, 4], [6, 5], [7, 5]]","[1, 1]",3
False,0,"[[6, 3], [6, 4], [6, 5]]","[1, 1]",3
False,0,"[[6, 2], [6, 3], [6, 4]]","[1, 1]",3
False,0,"[[6, 1], [6, 2], [6, 3]]","[1, 1]",3
True,0,"[[6, 0], [6, 1], [6, 2]]","[1, 1]",3
done,score,snake,food,direction_choice
False,0,"[[16, 8], [15, 8], [15, 7]]","[17, 4]",2
False,0,"[[17, 8], [16, 8], [15, 8]]","[17, 4]",2
False,0,"[[17, 9], [17, 8], [16, 8]]","[17, 4]",1
False,0,"[[17, 8], [17, 9], [17, 8]]","[17, 4]",3
False,0,"[[17, 9], [17, 8], [17, 9]]","[17, 4]",1
False,0,"[[17, 10], [17, 9], [17, 8]]","[17, 4]",1
False,0,"[[17, 9], [17, 10], [17, 9]]","[17, 4]",3
False,0,"[[17, 10], [17, 9], [17, 10]]","[17, 4]",1
False,0,"[[18, 10], [17, 10], [17, 9]]","[17, 4]",2
False,0,"[[17, 10], [18, 10], [17, 10]]","[17, 4]",0
False,0,"[[17, 11], [17, 10], [18, 10]]","[17, 4]",1
False,0,"[[16, 11], [17, 11], [17, 10]]","[17, 4]",0
False,0,"[[17, 11], [16, 11], [17, 11]]","[17, 4]",2
False,0,"[[17, 12], [17, 11], [16, 11]]","[17, 4]",1
False,0,"[[18, 12], [17, 12], [17, 11]]","[17, 4]",2
False,0,"[[18, 11], [18, 12], [17, 12]]","[17, 4]",3
False,0,"[[18, 10], [18, 11], [18, 12]]","[17, 4]",3
False,0,"[[18, 9], [18, 10], [18, 11]]","[17, 4]",3
False,0,"[[18, 10], [18, 9], [18, 10]]","[17, 4]",1
False,0,"[[18, 9], [18, 10], [18, 9]]","[17, 4]",3
False,0,"[[17, 9], [18, 9], [18, 10]]","[17, 4]",0
False,0,"[[17, 10], [17, 9], [18, 9]]","[17, 4]",1
False,0,"[[18, 10], [17, 10], [17, 9]]","[17, 4]",2
False,0,"[[19, 10], [18, 10], [17, 10]]","[17, 4]",2
False,0,"[[20, 10], [19, 10], [18, 10]]","[17, 4]",2
True,0,"[[21, 10], [20, 10], [19, 10]]","[17, 4]",2
