n,gameOver,food,score,snakeHead,snakeCells,visionN,visionE,visionS,visionW,directionChoice,directionCurrent
0,False,"[4, 1]",0,"[7, 5]","[[7, 4], [7, 5], [6, 5]]",0.0,0.0,1.0,0.0,3,2
1,False,"[4, 1]",0,"[7, 4]","[[8, 4], [7, 4], [7, 5]]",0.0,0.0,1.0,0.0,2,3
2,False,"[4, 1]",0,"[8, 4]","[[9, 4], [8, 4], [7, 4]]",0.0,0.0,1.0,0.0,2,2
3,False,"[4, 1]",0,"[9, 4]","[[10, 4], [9, 4], [8, 4], [7, 4]]",1.0,0.0,1.0,0.0,2,2
0,False,"[7, 10]",0,"[7, 5]","[[8, 5], [7, 5], [6, 5]]",0.0,0.0,1.0,0.0,0,2
1,False,"[7, 10]",0,"[8, 5]","[[9, 5], [8, 5], [7, 5]]",0.0,0.0,1.0,0.0,2,2
2,False,"[7, 10]",0,"[9, 5]","[[9, 4], [9, 5], [8, 5]]",1.0,0.0,1.0,0.0,3,2
3,False,"[7, 10]",0,"[9, 4]","[[8, 4], [9, 4], [9, 5]]",0.0,0.0,1.0,1.0,0,3
4,False,"[7, 10]",0,"[8, 4]","[[8, 5], [8, 4], [9, 4]]",0.0,0.0,1.0,0.0,1,0
5,False,"[7, 10]",0,"[8, 5]","[[9, 5], [8, 5], [8, 4]]",0.0,0.0,1.0,0.0,2,1
6,False,"[7, 10]",0,"[9, 5]","[[10, 5], [9, 5], [8, 5], [8, 4]]",1.0,0.0,1.0,0.0,0,2
